,Run,Rerun,CamCol,DAOPHOTID,ra,dec,x_u,y_u,u,uErr,chi_u,sharp_u,flag_u,x_g,y_g,g,gErr,chi_g,sharp_g,flag_g,x_r,y_r,r,rErr,chi_r,sharp_r,flag_r,x_i,y_i,i,iErr,chi_i,sharp_i,flag_i,x_z,y_z,z,zErr,chi_z,sharp_z,flag_z
18,2662,40,1,625,323.18099496,-0.96427769,842.567,39.31,20.992,0.075,0.48,0.5,0,841.524,44.023,19.175,0.023,1.06,0.02,0,839.627,31.175,18.462,0.02,1.09,0.02,0,837.891,34.488,18.185,0.048,2.22,-0.03,0,837.746,38.78,17.989,0.025,0.99,-0.03,0
19,2662,40,1,10992,323.18139531,-0.84147345,1959.204,42.515,22.459,0.317,0.54,0.39,0,1958.751,47.743,21.9,0.092,0.48,-0.35,0,1956.268,34.813,21.649,0.09,1.17,-0.06,0,1954.17,38.174,21.286,0.102,0.93,0.15,0,1954.463,42.813,21.133,0.268,0.88,-0.45,0
20,2662,40,1,9247,323.1814298,-0.8480639,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1896.353,35.122,22.367,0.103,0.75,-0.15,0,1894.275,38.48,21.084,0.091,0.97,0.02,0,1894.544,43.1,20.035,0.091,0.82,-0.32,0
21,2662,40,1,344,323.18156691,-0.99987471,518.964,44.669,17.698,0.015,1.03,0.01,0,517.75,49.231,16.548,0.009,1.17,0.03,0,516.024,36.408,16.144,0.021,1.45,0.01,0,514.392,39.707,16.004,0.03,2.0,-0.03,0,514.122,43.898,15.931,0.013,1.17,-0.1,0
22,2662,40,1,403,323.18165187,-0.99206031,589.994,45.405,17.351,0.012,1.01,-0.03,0,588.817,50.0,16.048,0.015,2.19,0.04,0,587.054,37.172,15.606,0.017,1.21,0.01,0,585.399,40.474,15.461,0.036,2.48,-0.01,0,585.156,44.687,15.412,0.012,1.19,-0.08,0
23,2662,40,1,286,323.18178758,-1.00656155,458.188,46.706,22.633,0.348,0.54,-1.53,0,456.942,51.24,21.714,0.075,0.46,-0.28,0,455.248,38.422,21.144,0.061,1.11,-0.01,0,453.634,41.718,20.931,0.066,0.76,0.08,0,453.341,45.89,20.543,0.169,0.95,0.06,0
24,2662,40,1,150,323.18189145,-1.03041743,9999.99,9999.99,99.999,9.999,9.99,9.99,9,240.044,52.2,22.153,0.134,0.57,-0.23,0,238.464,39.398,20.807,0.057,1.28,0.12,0,236.92,42.685,19.323,0.026,0.8,0.0,0,236.542,46.79,18.458,0.028,0.83,-0.08,0
25,2662,40,1,426,323.18189791,-0.98825709,9999.99,9999.99,99.999,9.999,9.99,9.99,9,623.407,52.235,21.964,0.089,0.45,-0.04,0,621.626,39.405,21.432,0.051,0.77,-0.07,0,619.958,42.708,21.275,0.092,0.8,0.19,0,619.73,46.932,21.123,0.31,1.02,0.13,0
26,2662,40,1,179,323.1825312,-1.02455088,294.708,53.553,21.804,0.154,0.51,0.36,0,293.376,58.011,19.615,0.019,0.69,-0.14,0,291.769,45.206,18.537,0.037,1.95,0.01,0,290.206,48.494,18.115,0.024,1.14,-0.03,0,289.851,52.616,17.833,0.025,1.11,-0.1,0
27,2662,40,1,300,323.18270376,-1.00524648,470.14,55.03,21.689,0.131,0.49,-0.23,0,468.9,59.568,20.903,0.032,0.42,-0.04,0,467.201,46.75,20.539,0.054,1.41,0.0,0,465.582,50.046,20.416,0.039,0.66,0.03,0,465.295,54.223,20.354,0.126,0.84,-0.06,0
28,2662,40,1,1115,323.18313413,-0.92964864,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1156.564,63.473,22.774,0.176,0.42,0.07,0,1154.504,50.605,21.735,0.084,1.01,0.13,0,1152.661,53.931,20.809,0.069,0.9,0.11,0,1152.645,58.321,20.487,0.194,1.15,-0.33,0
29,2662,40,1,75,323.18328984,-1.04186002,137.448,60.538,21.79,0.155,0.52,-0.23,0,136.033,64.921,20.048,0.021,0.56,-0.05,0,134.509,52.129,19.434,0.031,1.29,0.04,0,132.996,55.411,19.166,0.031,1.03,-0.01,0,132.581,59.484,19.038,0.065,1.28,-0.04,0
30,2662,40,1,462,323.18349477,-0.98414128,9999.99,9999.99,99.999,9.999,9.99,9.99,9,660.841,66.75,22.934,0.255,0.53,-1.08,0,659.042,53.919,21.744,0.082,0.97,-0.14,0,657.359,57.223,20.652,0.049,0.7,-0.14,0,657.149,61.46,19.881,0.112,1.13,-0.09,0
31,2662,40,1,448,323.18391822,-0.98529669,651.476,65.98,18.918,0.017,0.58,0.09,0,650.332,70.6,17.631,0.016,1.54,0.02,0,648.539,57.77,17.19,0.018,1.19,0.02,0,646.858,61.074,17.046,0.037,2.14,-0.03,0,646.646,65.307,16.962,0.017,1.1,-0.11,0
32,2662,40,1,437,323.18407293,-0.98682259,637.604,67.394,21.134,0.09,0.54,0.29,0,636.453,72.006,19.729,0.021,0.65,0.02,0,634.668,59.178,19.168,0.027,1.21,0.01,0,632.991,62.481,18.961,0.043,1.53,0.04,0,632.773,66.71,18.876,0.041,0.92,0.12,0
33,2662,40,1,1946,323.18410632,-0.90287538,1400.903,67.359,20.103,0.049,0.69,-0.45,0,1400.155,72.324,17.986,0.02,1.73,-0.07,0,1397.968,59.439,17.227,0.012,0.76,-0.02,0,1396.045,62.775,16.943,0.031,1.83,-0.01,0,1396.125,67.241,16.775,0.019,1.35,-0.09,0
34,2662,40,1,4049,323.18423711,-0.87550034,1649.83,68.456,22.004,0.239,0.65,0.01,0,1649.214,73.535,21.329,0.051,0.45,0.07,0,1646.897,60.632,21.077,0.049,0.94,0.1,0,1644.892,63.979,20.927,0.057,0.68,0.07,0,1645.071,68.523,20.701,0.207,1.04,-0.65,0
35,2662,40,1,694,323.18566634,-0.95797041,899.912,81.756,22.413,0.298,0.56,0.2,0,898.899,86.487,20.845,0.043,0.59,0.03,0,896.978,73.641,20.053,0.023,0.75,0.04,0,895.212,76.955,19.757,0.061,1.51,0.08,0,895.101,81.267,19.482,0.072,0.99,0.04,0
36,2662,40,1,295,323.18590983,-1.00581562,464.966,84.182,21.797,0.147,0.5,0.86,0,463.724,88.712,18.811,0.019,1.1,-0.13,0,462.031,75.899,17.437,0.025,1.63,0.01,0,460.406,79.194,16.811,0.018,1.09,-0.03,0,460.125,83.37,16.43,0.015,1.19,-0.08,0
