,Run,Rerun,CamCol,DAOPHOTID,ra,dec,x_u,y_u,u,uErr,chi_u,sharp_u,flag_u,x_g,y_g,g,gErr,chi_g,sharp_g,flag_g,x_r,y_r,r,rErr,chi_r,sharp_r,flag_r,x_i,y_i,i,iErr,chi_i,sharp_i,flag_i,x_z,y_z,z,zErr,chi_z,sharp_z,flag_z
0,756,44,3,1,229.23374344,-0.21193819,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1.678,4192.263,22.939,0.311,1.99,0.85,0,4.75,4181.708,20.702,0.066,1.9,0.82,0,2.709,4184.383,20.227,0.071,1.75,0.14,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
1,756,44,3,2,228.97311453,-0.21182784,7.886,1817.753,22.196,0.164,0.47,0.68,0,3.649,1822.685,21.144,0.038,1.11,-0.28,0,6.254,1811.976,20.789,0.039,1.02,0.08,0,3.92,1815.084,20.798,0.052,0.79,0.21,0,2.769,1819.756,20.904,0.304,1.29,-1.68,0
2,756,44,3,3,229.0680341,-0.21171792,8.669,2680.737,18.465,0.319,16.6,6.43,0,4.296,2685.672,18.108,0.171,20.15,-0.46,0,7.07,2675.019,16.5,0.167,22.53,1.72,0,4.843,2677.97,17.23,0.124,12.93,0.97,0,3.516,2682.781,18.557,0.271,7.77,2.11,0
3,756,44,3,4,229.0130155,-0.21170007,8.955,2180.522,21.826,0.149,0.61,-0.45,0,4.662,2185.456,21.039,0.03,0.92,0.11,0,7.338,2174.77,20.713,0.043,1.19,0.06,0,5.049,2177.812,20.474,0.046,0.95,0.03,0,3.824,2182.542,20.66,0.172,0.91,0.1,0
4,756,44,3,5,228.89640716,-0.21166959,9.496,1120.35,15.715,0.01,1.51,0.01,0,5.371,1125.28,14.062,0.007,1.44,-0.04,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,4.409,1122.32,12.9,0.098,12.19,0.23,0
5,756,44,3,6,228.91251013,-0.21156568,10.404,1266.754,22.22,0.235,0.64,-1.26,0,6.257,1271.684,20.515,0.025,0.93,-0.11,0,8.752,1260.939,19.619,0.02,1.02,0.12,0,6.351,1264.148,19.31,0.023,1.02,0.07,0,5.312,1268.731,19.06,0.06,1.2,0.17,0
6,756,44,3,7,229.00551271,-0.21151452,9999.99,9999.99,99.999,9.999,9.99,9.99,9,6.376,2117.242,21.898,0.056,0.92,-0.24,0,9.038,2106.552,21.467,0.073,1.13,-0.35,0,6.742,2109.606,21.463,0.103,0.92,0.1,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
7,756,44,3,8,228.83123289,-0.21154445,9999.99,9999.99,99.999,9.999,9.99,9.99,9,6.75,532.731,21.711,0.076,1.43,0.83,0,9.101,521.937,20.226,0.059,2.29,0.77,0,6.607,525.282,19.716,0.057,2.06,0.63,0,5.719,529.745,19.388,0.087,1.37,0.9,0
8,756,44,3,9,228.99712402,-0.21150804,10.735,2036.042,21.943,0.125,0.45,0.25,0,6.466,2040.975,20.874,0.029,1.02,0.03,0,9.113,2030.279,20.597,0.039,1.18,0.01,0,6.806,2033.348,20.393,0.043,0.96,-0.01,0,5.61,2038.055,20.605,0.189,1.03,0.03,0
9,756,44,3,10,228.77620515,-0.21133867,12.773,27.506,22.409,0.21,0.5,-0.9,0,8.825,32.432,21.724,0.056,1.02,-0.2,0,11.076,21.605,21.567,0.075,1.07,-0.39,0,8.521,25.042,21.36,0.108,1.02,-0.52,0,7.735,29.424,21.174,0.353,1.16,0.5,0
10,756,44,3,11,228.91234076,-0.21125144,13.257,1265.214,20.209,0.045,0.7,-0.1,0,9.112,1270.144,19.723,0.016,1.05,0.1,0,11.607,1259.399,19.248,0.021,1.33,0.28,0,9.205,1262.609,18.848,0.019,1.09,0.19,0,8.167,1267.191,18.513,0.044,1.22,0.52,0
11,756,44,3,12,228.99900417,-0.21123277,13.23,2053.135,22.511,0.238,0.52,0.41,0,8.961,2058.068,21.476,0.053,1.2,0.16,0,11.61,2047.374,20.974,0.037,0.82,-0.03,0,9.307,2050.439,20.777,0.057,0.88,0.17,0,8.107,2055.149,20.604,0.174,0.97,0.1,0
12,756,44,3,13,228.7837065,-0.21108809,15.032,95.706,18.572,0.019,0.95,0.01,0,11.075,100.632,16.881,0.013,2.07,0.03,0,13.338,89.81,16.208,0.006,0.89,-0.04,0,10.792,93.234,15.924,0.023,3.22,-0.04,0,9.993,97.627,15.764,0.022,2.09,0.08,0
13,756,44,3,14,229.15710679,-0.21099553,15.026,3490.561,22.063,0.206,0.68,-1.09,0,10.53,3495.5,21.001,0.025,0.79,0.01,0,13.461,3484.9,20.615,0.04,1.18,-0.09,0,11.337,3487.702,20.575,0.055,1.01,-0.12,0,9.844,3492.643,20.561,0.181,1.04,-0.04,0
14,756,44,3,15,228.86100601,-0.21079732,17.497,798.492,19.601,0.021,0.52,-0.01,0,13.431,803.421,18.081,0.01,1.27,0.08,0,15.831,792.645,17.459,0.009,1.12,-0.03,0,13.373,795.94,17.232,0.009,0.97,0.0,0,12.43,800.446,17.092,0.023,1.41,0.17,0
15,756,44,3,16,229.19078099,-0.2106915,9999.99,9999.99,99.999,9.999,9.99,9.99,9,13.169,3801.658,22.034,0.075,1.09,0.25,0,16.158,3791.078,21.39,0.052,0.85,0.16,0,14.073,3793.825,21.079,0.074,0.91,-0.2,0,12.518,3798.815,21.039,0.278,1.02,1.1,0
16,756,44,3,17,228.85339809,-0.21067498,9999.99,9999.99,99.999,9.999,9.99,9.99,9,14.571,734.251,23.18,0.203,1.1,0.38,0,16.957,723.471,21.814,0.08,0.95,-0.21,0,14.491,726.779,20.826,0.062,0.94,0.14,0,13.562,731.274,20.232,0.124,0.99,0.28,0
17,756,44,3,18,229.16756062,-0.21040989,9999.99,9999.99,99.999,9.999,9.99,9.99,9,15.814,3590.543,22.641,0.119,1.06,0.04,0,18.761,3579.95,22.242,0.105,0.85,0.01,0,16.65,3582.735,21.967,0.155,0.88,0.28,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
18,756,44,3,19,229.15969511,-0.21034727,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,19.345,3508.434,22.191,0.134,1.13,-0.31,0,17.226,3511.233,21.335,0.083,0.83,-0.02,0,15.729,3516.177,20.522,0.182,1.08,-0.44,0
19,756,44,3,20,228.88708637,-0.21007585,23.989,1035.607,22.522,0.2,0.43,-0.28,0,19.891,1040.538,21.572,0.056,1.16,-0.1,0,22.335,1029.777,21.084,0.053,1.12,-0.27,0,19.908,1033.03,20.749,0.059,0.97,0.04,0,18.917,1037.573,20.789,0.187,0.87,-0.95,0
20,756,44,3,21,228.97463514,-0.20976386,9999.99,9999.99,99.999,9.999,9.99,9.99,9,22.402,1836.51,22.849,0.144,1.05,-0.64,0,25.001,1825.802,21.662,0.078,1.03,0.17,0,22.674,1828.909,21.374,0.103,1.0,-0.03,0,21.521,1833.581,21.008,0.303,1.17,0.79,0
21,756,44,3,22,229.03235524,-0.20971784,26.911,2356.352,23.035,0.338,0.44,0.87,0,22.606,2361.287,22.078,0.056,0.79,-0.02,0,25.308,2350.614,21.965,0.116,1.17,-0.65,0,23.046,2353.624,21.678,0.113,0.83,0.26,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
22,756,44,3,23,229.12568018,-0.20968322,9999.99,9999.99,99.999,9.999,9.99,9.99,9,22.574,3209.776,23.034,0.156,0.97,-0.04,0,25.443,3199.158,21.564,0.069,0.98,-0.07,0,23.286,3202.013,20.187,0.039,1.01,0.04,0,21.853,3206.906,19.459,0.069,1.02,-0.08,0
23,756,44,3,24,228.90301875,-0.20960156,28.26,1180.459,21.907,0.131,0.49,0.0,0,24.144,1185.39,20.934,0.03,0.99,-0.1,0,26.613,1174.64,20.619,0.032,0.95,-0.03,0,24.206,1177.866,20.571,0.038,0.71,-0.05,0,23.186,1182.432,20.54,0.171,1.02,-0.1,0
24,756,44,3,25,228.79960248,-0.2095892,9999.99,9999.99,99.999,9.999,9.99,9.99,9,24.639,245.154,23.623,0.237,0.83,0.22,0,26.924,234.342,22.48,0.146,0.96,0.42,0,24.4,237.74,20.908,0.064,0.9,-0.12,0,23.572,242.155,20.274,0.122,0.93,-0.17,0
25,756,44,3,26,228.99817226,-0.20950559,28.916,2045.57,20.616,0.052,0.6,-0.04,0,24.662,2050.504,19.486,0.013,0.95,0.1,0,27.302,2039.81,18.963,0.012,0.93,-0.02,0,25.002,2042.878,18.723,0.014,0.88,-0.02,0,23.805,2047.584,18.651,0.038,1.02,0.07,0
26,756,44,3,27,229.04930585,-0.20928594,30.795,2510.463,22.081,0.161,0.52,0.61,0,26.469,2515.398,21.194,0.034,0.95,0.18,0,29.199,2504.735,20.867,0.039,0.95,-0.03,0,26.958,2507.718,20.668,0.049,0.86,0.01,0,25.667,2512.498,21.226,0.357,1.1,0.12,0
27,756,44,3,28,228.89868753,-0.20908148,32.993,1141.081,22.719,0.319,0.56,0.7,0,28.887,1146.012,21.509,0.077,1.67,1.18,0,31.346,1135.259,19.97,0.074,3.36,1.17,0,28.935,1138.493,19.336,0.078,3.57,1.06,0,27.924,1143.052,18.923,0.093,2.1,0.71,0
28,756,44,3,29,229.18229793,-0.20900889,9999.99,9999.99,99.999,9.999,9.99,9.99,9,28.494,3724.531,22.247,0.089,1.1,0.21,0,31.46,3713.947,20.925,0.039,0.95,-0.02,0,29.369,3716.709,20.452,0.05,1.04,0.18,0,27.832,3721.684,20.062,0.116,1.03,-0.11,0
29,756,44,3,30,228.8476317,-0.20894676,34.332,676.894,21.072,0.075,0.58,-0.01,0,30.3,681.824,18.933,0.013,1.17,0.04,0,32.668,671.041,17.969,0.008,0.81,-0.02,0,30.2,674.359,17.604,0.011,1.11,0.05,0,29.283,678.843,17.436,0.025,1.33,0.09,0
30,756,44,3,31,228.96112522,-0.20882754,9999.99,9999.99,99.999,9.999,9.99,9.99,9,30.963,1713.68,22.26,0.08,0.98,0.6,0,33.533,1702.965,22.001,0.09,0.89,-0.13,0,31.193,1706.094,21.667,0.112,0.84,0.08,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
31,756,44,3,32,229.02908832,-0.20871034,9999.99,9999.99,99.999,9.999,9.99,9.99,9,31.776,2331.585,22.635,0.119,1.05,0.59,0,34.467,2320.91,21.119,0.04,0.82,0.01,0,32.204,2323.926,19.867,0.028,0.91,-0.03,0,30.951,2328.676,19.23,0.063,1.12,-0.06,0
32,756,44,3,33,229.0965587,-0.20869429,9999.99,9999.99,99.999,9.999,9.99,9.99,9,31.671,2945.01,22.475,0.109,1.1,0.29,0,34.483,2934.375,21.821,0.088,0.99,-0.07,0,32.296,2937.279,21.429,0.087,0.78,0.14,0,30.918,2942.128,21.145,0.352,1.17,-0.63,0
33,756,44,3,34,228.92311826,-0.20846792,9999.99,9999.99,99.999,9.999,9.99,9.99,9,34.373,1368.13,22.181,0.083,1.07,0.17,0,36.873,1357.392,20.622,0.035,1.02,0.03,0,34.491,1360.585,19.588,0.025,0.99,-0.15,0,33.435,1365.179,18.969,0.048,1.03,0.12,0
34,756,44,3,35,228.96321423,-0.20837281,9999.99,9999.99,99.999,9.999,9.99,9.99,9,35.088,1732.673,22.312,0.11,1.29,1.04,0,37.66,1721.959,21.415,0.084,1.37,0.79,0,35.323,1725.086,20.888,0.079,1.15,0.69,0,34.192,1729.738,20.5,0.169,1.04,0.26,0
35,756,44,3,36,228.99391429,-0.20821111,40.681,2006.857,21.964,0.15,0.53,-0.66,0,36.444,2011.791,20.961,0.026,0.84,0.13,0,39.07,2001.095,20.577,0.034,1.05,-0.11,0,36.769,2004.171,20.44,0.034,0.72,0.01,0,35.581,2008.868,20.263,0.123,0.93,0.39,0
36,756,44,3,37,229.09654297,-0.2080728,41.704,2939.929,22.589,0.283,0.58,-0.56,0,37.32,2944.866,20.194,0.024,1.26,0.06,0,40.129,2934.232,18.889,0.011,0.87,0.03,0,37.944,2937.136,18.278,0.013,0.97,0.07,0,36.566,2941.984,17.999,0.032,1.3,0.13,0
37,756,44,3,38,229.04792193,-0.20797016,42.747,2497.88,23.008,0.399,0.53,0.9,0,38.434,2502.816,22.013,0.062,0.92,0.34,0,41.155,2492.152,21.609,0.07,0.95,0.03,0,38.916,2495.138,21.421,0.104,0.97,0.13,0,37.628,2499.914,20.983,0.248,0.97,-0.6,0
38,756,44,3,39,229.14911315,-0.20784999,9999.99,9999.99,99.999,9.999,9.99,9.99,9,39.151,3422.822,23.144,0.168,0.94,0.2,0,42.052,3412.219,21.415,0.054,0.87,-0.08,0,39.927,3415.036,20.771,0.056,0.89,0.22,0,38.452,3419.961,20.525,0.146,0.86,0.07,0
39,756,44,3,40,228.97877597,-0.2078668,43.842,1869.223,22.338,0.251,0.64,-0.73,0,39.63,1874.157,21.491,0.045,1.0,0.08,0,42.227,1863.452,20.966,0.044,1.01,0.08,0,39.91,1866.553,20.977,0.063,0.81,-0.27,0,38.75,1871.228,20.551,0.152,0.88,0.06,0
40,756,44,3,41,228.88209976,-0.20783112,44.385,990.268,19.554,0.02,0.53,0.04,0,40.313,995.199,18.528,0.009,0.97,0.07,0,42.737,984.437,18.146,0.018,1.81,-0.06,0,40.311,987.699,17.991,0.013,1.08,0.03,0,39.331,992.232,17.967,0.03,1.23,0.22,0
41,756,44,3,42,228.90103896,-0.20770063,9999.99,9999.99,99.999,9.999,9.99,9.99,9,41.429,1167.39,22.295,0.111,1.3,1.3,0,43.886,1156.639,20.45,0.062,2.07,0.94,0,41.481,1159.869,19.794,0.056,1.9,0.61,0,40.466,1164.429,19.332,0.101,1.68,0.97,0
42,756,44,3,43,229.09202643,-0.20764172,45.628,2898.865,22.574,0.266,0.55,-1.5,0,41.255,2903.803,22.106,0.072,0.99,0.22,0,44.054,2893.166,21.695,0.089,1.12,0.52,0,41.865,2896.078,21.781,0.157,1.06,0.53,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
43,756,44,3,44,229.08902908,-0.20761384,45.889,2871.614,21.758,0.122,0.53,-0.69,0,41.52,2876.552,20.687,0.028,1.07,0.01,0,44.313,2865.913,20.475,0.03,0.98,0.12,0,42.121,2868.83,20.446,0.047,0.99,0.0,0,40.757,2873.666,20.32,0.165,1.16,0.39,0
44,756,44,3,45,228.91076404,-0.20763782,46.075,1250.876,22.674,0.245,0.45,0.22,0,41.963,1255.808,21.793,0.056,0.99,-0.17,0,44.438,1245.063,21.485,0.081,1.23,-0.17,0,42.044,1248.277,21.213,0.095,1.05,0.34,0,41.011,1252.852,21.132,0.27,0.93,-0.16,0
45,756,44,3,46,229.09538277,-0.20758564,46.131,2929.381,21.237,0.087,0.57,-0.48,0,41.753,2934.319,20.041,0.022,1.24,0.04,0,44.557,2923.683,19.522,0.017,1.01,0.02,0,42.372,2926.59,19.306,0.023,1.07,0.03,0,40.997,2931.436,19.284,0.057,0.98,-0.07,0
46,756,44,3,47,229.06739015,-0.20750351,9999.99,9999.99,99.999,9.999,9.99,9.99,9,42.603,2679.816,21.192,0.034,0.93,-0.21,0,45.357,2669.164,19.618,0.017,0.95,0.05,0,43.141,2672.118,18.84,0.019,1.13,0.04,0,41.817,2676.922,18.463,0.037,1.14,0.25,0
47,756,44,3,48,229.1383782,-0.20734889,9999.99,9999.99,99.999,9.999,9.99,9.99,9,43.745,3325.223,21.191,0.038,1.06,-0.04,0,46.625,3314.613,19.824,0.019,0.95,-0.07,0,44.489,3317.448,19.034,0.018,0.97,-0.03,0,43.034,3322.357,18.619,0.045,1.23,-0.02,0
48,756,44,3,49,228.83023358,-0.20734091,48.953,518.714,22.034,0.179,0.56,2.06,0,44.961,523.644,20.954,0.113,3.68,1.85,0,47.29,512.851,19.923,0.112,5.3,1.7,0,44.806,516.199,19.507,0.103,4.22,1.39,0,43.923,520.655,19.22,0.113,1.97,1.34,0
49,756,44,3,50,229.01083893,-0.20710909,9999.99,9999.99,99.999,9.999,9.99,9.99,9,46.398,2165.666,22.956,0.166,1.11,-0.64,0,49.049,2154.98,22.305,0.09,0.67,-0.04,0,46.77,2158.028,21.572,0.126,1.02,-0.24,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
50,756,44,3,51,229.01449475,-0.20702675,51.389,2193.967,20.58,0.049,0.57,-0.08,0,47.133,2198.903,19.249,0.016,1.27,0.15,0,49.79,2188.22,18.636,0.014,1.14,0.1,0,47.515,2191.261,18.381,0.014,1.0,-0.03,0,46.29,2195.988,18.251,0.034,1.17,0.34,0
51,756,44,3,52,229.10401518,-0.20673756,53.813,3007.863,22.352,0.206,0.52,-0.66,0,49.43,3012.802,21.611,0.051,1.05,0.06,0,52.245,3002.172,21.311,0.051,0.87,-0.25,0,50.072,3005.065,21.134,0.057,0.67,0.02,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
52,756,44,3,53,228.95188923,-0.2066139,55.281,1624.774,22.592,0.299,0.6,-1.3,0,51.118,1629.708,21.799,0.047,0.83,0.07,0,53.661,1618.988,21.437,0.069,1.11,-0.14,0,51.317,1622.134,21.313,0.1,1.02,-0.56,0,50.209,1626.768,21.241,0.348,1.07,-1.29,0
