,Run,Rerun,CamCol,DAOPHOTID,ra,dec,x_u,y_u,u,uErr,chi_u,sharp_u,flag_u,x_g,y_g,g,gErr,chi_g,sharp_g,flag_g,x_r,y_r,r,rErr,chi_r,sharp_r,flag_r,x_i,y_i,i,iErr,chi_i,sharp_i,flag_i,x_z,y_z,z,zErr,chi_z,sharp_z,flag_z
1944,5390,40,5,4127,199.08665933,17.71038335,749.851,1434.628,21.612,0.089,0.42,-0.02,0,750.958,1438.234,20.791,0.031,1.08,0.06,0,749.163,1427.895,20.647,0.042,1.2,-0.27,0,750.887,1430.58,20.501,0.047,0.74,0.02,0,750.38,1434.698,20.714,0.192,1.07,-0.21,0.0
1945,5390,40,5,3370,199.08666403,17.70131076,9999.99,9999.99,99.999,9.999,9.99,9.99,9,668.662,1444.317,22.39,0.087,1.01,-0.35,0,666.913,1433.983,22.237,0.13,1.06,-0.78,0,668.614,1436.665,22.083,0.193,0.81,-0.11,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9.0
1946,5390,40,5,4167,199.08669367,17.71095273,9999.99,9999.99,99.999,9.999,9.99,9.99,9,756.144,1438.151,22.517,0.111,1.12,0.02,0,754.347,1427.812,22.075,0.113,1.04,-0.84,0,756.072,1430.498,21.912,0.144,0.71,0.05,0,755.566,1434.616,21.492,0.382,0.99,0.8,0.0
1947,5390,40,5,3764,199.08671824,17.70576717,708.021,1438.206,18.822,0.017,0.64,-0.07,0,709.121,1441.818,17.711,0.017,1.68,-0.04,0,707.349,1431.481,17.159,0.01,1.14,0.03,0,709.061,1434.165,16.954,0.014,0.83,-0.02,0,708.547,1438.283,16.853,0.016,0.82,-0.04,0.0
1948,5390,40,5,3665,199.08672531,17.70469609,698.312,1438.979,21.821,0.142,0.55,0.14,0,699.41,1442.592,20.991,0.036,1.1,0.11,0,697.643,1432.256,20.7,0.044,1.24,0.12,0,699.353,1434.939,20.623,0.057,0.81,0.04,0,698.837,1439.057,20.392,0.134,0.99,0.2,0.0
1949,5390,40,5,6761,199.08681324,17.77664239,1350.913,1391.864,21.717,0.144,0.62,-0.31,0,1352.124,1395.393,20.669,0.028,1.06,0.08,0,1349.997,1385.016,20.46,0.037,1.23,-0.03,0,1351.89,1387.725,20.291,0.038,0.69,-0.01,0,1351.486,1391.844,20.249,0.11,0.91,0.18,0.0
1950,5390,40,5,1865,199.08686185,17.68295037,501.194,1454.61,21.82,0.143,0.55,0.17,0,502.258,1458.248,20.977,0.042,1.28,-0.01,0,500.6,1447.925,20.682,0.062,1.76,0.38,0,502.254,1450.6,20.674,0.078,1.07,0.33,0,501.704,1454.718,20.669,0.177,1.03,-0.01,0.0
1951,5390,40,5,3913,199.08686876,17.70760362,724.773,1438.285,21.57,0.123,0.53,-0.62,0,725.875,1441.895,20.62,0.031,1.16,0.0,0,724.094,1431.557,20.413,0.026,0.83,-0.08,0,725.811,1434.241,20.286,0.045,0.81,0.03,0,725.299,1438.359,20.367,0.128,0.96,0.06,0.0
1952,5390,40,5,6219,199.08687818,17.74762426,1087.773,1411.744,22.002,0.18,0.6,-0.19,0,1088.938,1415.306,21.251,0.038,1.0,-0.07,0,1086.957,1404.946,21.045,0.046,0.95,0.04,0,1088.776,1407.645,20.895,0.072,0.83,-0.02,0,1088.327,1411.763,20.637,0.163,0.97,0.04,0.0
1953,5390,40,5,6976,199.08690074,17.79950949,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1559.561,1380.89,22.586,0.097,0.95,0.07,0,1557.32,1370.501,21.257,0.055,1.0,-0.12,0,1559.271,1373.218,20.003,0.046,0.99,0.11,0,1558.903,1377.336,19.273,0.069,1.2,0.03,0.0
1954,5390,40,5,823,199.08690416,17.66350265,9999.99,9999.99,99.999,9.999,9.99,9.99,9,325.93,1471.553,21.942,0.075,1.23,-0.1,0,324.37,1461.24,21.755,0.082,1.03,0.34,0,325.974,1463.909,21.513,0.106,0.73,-0.12,0,325.394,1468.027,21.722,0.352,0.71,-0.07,0.0
1955,5390,40,5,2399,199.0869201,17.68998346,565.008,1450.441,22.889,0.331,0.46,0.16,0,566.082,1454.071,22.296,0.102,1.23,-0.52,0,564.389,1443.743,22.068,0.101,0.96,-0.31,0,566.062,1446.422,21.94,0.146,0.6,-0.38,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9.0
1956,5390,40,5,7,199.08692033,17.62834557,6.301,1491.356,22.03,0.167,0.52,0.2,0,7.279,1495.058,20.994,0.033,1.04,0.11,0,5.895,1484.765,20.687,0.033,0.87,0.14,0,7.41,1487.421,20.632,0.058,0.84,-0.11,0,6.775,1491.538,20.61,0.171,1.04,0.07,0.0
1957,5390,40,5,3578,199.08694004,17.70374603,689.831,1441.466,21.626,0.138,0.62,-0.19,0,690.928,1445.08,20.621,0.026,0.99,-0.01,0,689.166,1434.744,20.422,0.021,0.68,-0.12,0,690.873,1437.427,20.369,0.046,0.8,-0.03,0,690.355,1441.545,20.411,0.116,0.84,-0.03,0.0
1958,5390,40,5,2666,199.08694817,17.69325913,594.731,1448.506,20.575,0.061,0.65,0.38,0,595.811,1452.132,19.631,0.03,1.71,0.19,0,594.101,1441.803,19.348,0.022,1.34,0.26,0,595.782,1444.482,19.261,0.04,1.28,0.15,0,595.248,1448.6,19.275,0.071,1.25,0.24,0.0
1959,5390,40,5,1287,199.08697368,17.67336315,9999.99,9999.99,99.999,9.999,9.99,9.99,9,415.385,1465.594,22.548,0.108,1.12,0.03,0,413.775,1455.276,22.027,0.12,1.19,0.17,0,415.405,1457.948,21.707,0.115,0.69,0.18,0,414.84,1462.066,20.997,0.243,1.05,-0.28,0.0
1960,5390,40,5,2969,199.08703194,17.69684518,627.305,1446.847,21.811,0.12,0.47,-0.12,0,628.391,1450.469,21.194,0.065,1.75,0.56,0,626.663,1440.137,20.963,0.088,2.04,0.8,0,628.353,1442.818,20.924,0.102,1.17,0.27,0,627.825,1446.936,20.663,0.169,0.99,0.21,0.0
1961,5390,40,5,4527,199.0870354,17.71564985,9999.99,9999.99,99.999,9.999,9.99,9.99,9,798.972,1437.974,22.608,0.117,1.12,-0.5,0,797.15,1427.632,22.273,0.139,1.08,-0.28,0,798.888,1430.319,22.302,0.216,0.74,-0.22,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9.0
1962,5390,40,5,4204,199.0870365,17.71143457,759.625,1437.187,20.573,0.049,0.55,0.23,0,760.734,1440.792,19.697,0.029,1.68,0.15,0,758.933,1430.452,19.402,0.023,1.38,0.28,0,760.66,1433.138,19.347,0.03,0.91,0.1,0,760.155,1437.256,19.352,0.067,1.11,0.05,0.0
1963,5390,40,5,6325,199.0870404,17.75144826,1122.561,1410.599,22.461,0.324,0.71,1.54,0,1123.732,1414.157,21.734,0.075,1.42,0.3,0,1121.731,1403.795,21.327,0.069,1.2,0.25,0,1123.56,1406.495,21.194,0.106,0.95,0.34,0,1123.117,1410.613,21.275,0.28,0.91,0.17,0.0
1964,5390,40,5,5284,199.08704473,17.72606519,892.332,1427.527,21.121,0.099,0.7,0.36,0,893.463,1431.114,20.147,0.022,1.02,0.01,0,891.589,1420.767,19.938,0.024,1.06,-0.04,0,893.353,1423.458,19.911,0.029,0.67,0.01,0,892.871,1427.575,20.061,0.103,1.0,0.03,0.0
1965,5390,40,5,2023,199.08705343,17.68492454,519.217,1454.954,21.199,0.103,0.64,0.1,0,520.284,1458.59,20.346,0.149,3.12,0.66,0,518.616,1448.265,18.509,0.2,7.43,0.23,1,520.275,1450.941,20.056,0.099,1.29,0.24,0,519.729,1455.059,19.927,0.154,1.15,0.32,0.0
1966,5390,40,5,5889,199.08705425,17.73821298,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1003.673,1423.101,21.784,0.056,1.02,0.25,0,1001.738,1412.746,21.269,0.058,1.05,0.35,0,1003.533,1415.442,21.262,0.098,0.84,0.17,0,1003.069,1419.559,20.97,0.21,0.92,0.42,0.0
1967,5390,40,5,297,199.08708446,17.64612809,167.529,1480.981,21.01,0.056,0.42,-0.03,0,168.535,1484.662,20.266,0.023,1.06,0.06,0,167.062,1474.359,20.083,0.024,1.0,-0.13,0,168.622,1477.021,19.977,0.032,0.7,0.0,0,168.015,1481.139,19.96,0.105,1.12,-0.1,0.0
1968,5390,40,5,1711,199.08712631,17.68058073,479.875,1458.469,21.765,0.146,0.59,-0.14,0,480.935,1462.11,20.851,0.032,1.05,0.17,0,479.289,1451.788,20.552,0.033,1.01,-0.07,0,480.937,1454.463,20.504,0.045,0.71,0.04,0,480.384,1458.581,20.734,0.164,0.9,0.23,0.0
1969,5390,40,5,1466,199.08713556,17.67641835,9999.99,9999.99,99.999,9.999,9.99,9.99,9,443.194,1464.96,22.256,0.08,1.04,-0.21,0,441.568,1454.64,21.832,0.093,1.08,-0.31,0,443.206,1457.313,21.744,0.162,0.94,-0.31,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9.0
1970,5390,40,5,5302,199.0871492,17.72635048,894.986,1428.24,22.074,0.213,0.65,-0.1,0,896.117,1431.827,21.233,0.043,1.05,0.1,0,894.242,1421.479,21.143,0.063,1.17,0.14,0,896.007,1424.17,20.913,0.056,0.63,0.1,0,895.525,1428.288,20.545,0.155,1.0,0.03,0.0
1971,5390,40,5,443,199.08715479,17.65244375,224.813,1477.397,22.235,0.259,0.68,1.05,0,225.829,1481.071,21.352,0.079,1.9,0.68,0,224.324,1470.765,21.067,0.087,1.86,0.89,0,225.901,1473.43,21.183,0.17,1.6,0.73,0,225.303,1477.547,20.627,0.19,1.15,0.29,0.0
1972,5390,40,5,73,199.08716237,17.63317222,50.182,1490.248,20.726,0.054,0.52,0.0,0,51.168,1493.944,19.803,0.019,1.04,-0.08,0,49.759,1483.648,19.555,0.02,1.1,-0.07,0,51.286,1486.306,19.446,0.024,0.71,-0.02,0,50.659,1490.424,19.409,0.059,0.94,-0.06,0.0
