,Run,Rerun,CamCol,DAOPHOTID,ra,dec,x_u,y_u,u,uErr,chi_u,sharp_u,flag_u,x_g,y_g,g,gErr,chi_g,sharp_g,flag_g,x_r,y_r,r,rErr,chi_r,sharp_r,flag_r,x_i,y_i,i,iErr,chi_i,sharp_i,flag_i,x_z,y_z,z,zErr,chi_z,sharp_z,flag_z
0,4670,40,2,26,242.67412694,14.87577958,9999.99,9999.99,99.999,9.999,9.99,9.99,9,115.204,59.988,20.745,0.031,1.05,0.07,0,115.911,49.959,19.818,0.016,0.79,-0.02,0,114.624,52.841,19.406,0.029,1.06,0.05,0,114.773,56.904,19.25,0.079,1.38,-0.27,0
1,4670,40,2,31,242.67613199,14.87661622,131.536,67.651,20.177,0.056,0.5,0.58,0,129.073,73.244,19.172,0.012,0.8,0.0,0,129.775,63.21,18.899,0.013,0.93,-0.02,0,128.495,66.096,18.747,0.02,1.03,-0.02,0,128.643,70.156,18.793,0.044,1.07,-0.24,0
2,4670,40,2,29,242.67756674,14.87491583,122.223,85.294,20.465,0.065,0.46,-0.13,0,119.76,90.883,18.588,0.013,1.08,-0.09,0,120.464,80.852,17.685,0.01,0.97,-0.01,0,119.183,83.737,17.276,0.011,0.84,-0.01,0,119.329,87.799,17.058,0.015,1.01,-0.06,0
3,4670,40,2,19,242.68019916,14.86928325,9999.99,9999.99,99.999,9.999,9.99,9.99,9,81.655,132.158,21.717,0.055,1.01,-0.19,0,82.363,122.14,20.504,0.032,1.04,0.0,0,81.075,125.02,19.946,0.033,0.89,0.1,0,81.217,129.088,19.614,0.084,1.08,0.07,0
4,4670,40,2,86,242.6805073,14.89983329,340.845,20.612,18.129,0.016,0.7,0.02,0,338.338,26.306,16.874,0.006,0.64,0.02,0,338.997,16.194,16.394,0.009,1.09,-0.01,0,337.779,19.128,16.205,0.012,1.12,0.01,0,337.939,23.144,16.151,0.011,1.03,0.09,0
5,4670,40,2,45,242.682251,14.87906268,9999.99,9999.99,99.999,9.999,9.99,9.99,9,170.504,114.079,22.535,0.122,1.18,0.54,0,171.194,104.027,21.281,0.057,1.04,-0.2,0,169.933,106.928,19.8,0.033,0.98,-0.06,0,170.079,110.977,19.234,0.07,1.23,-0.07,0
6,4670,40,2,59,242.6831966,14.88518905,9999.99,9999.99,99.999,9.999,9.99,9.99,9,225.005,100.002,22.51,0.109,1.08,-0.07,0,225.684,89.93,21.931,0.105,1.19,0.41,0,224.438,92.843,21.701,0.112,0.73,0.14,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
7,4670,40,2,53,242.6832111,14.88456286,9999.99,9999.99,99.999,9.999,9.99,9.99,9,219.816,102.34,22.568,0.128,1.2,-0.14,0,220.495,92.27,21.259,0.046,0.9,0.02,0,219.249,95.182,20.272,0.044,0.93,-0.11,0,219.398,99.221,19.667,0.08,0.99,-0.09,0
8,4670,40,2,10,242.68498686,14.86308142,48.621,187.337,18.661,0.022,0.63,0.09,0,46.172,192.893,17.206,0.01,1.01,-0.05,0,46.884,182.886,16.67,0.011,1.25,-0.04,0,45.593,185.763,16.434,0.015,1.31,0.03,0,45.727,189.836,16.363,0.012,1.1,-0.02,0
9,4670,40,2,25,242.68635504,14.87034832,114.117,172.603,21.927,0.239,0.45,-0.31,0,111.655,178.191,20.322,0.022,0.97,-0.03,0,112.352,168.16,19.679,0.018,0.9,-0.04,0,111.081,171.051,19.326,0.022,0.87,0.06,0,111.219,175.111,19.241,0.058,1.02,0.02,0
10,4670,40,2,9,242.68823559,14.86099832,42.324,221.015,15.201,0.011,1.91,0.08,0,39.876,226.569,14.056,0.016,2.03,-0.09,0,40.586,216.563,13.928,0.012,1.65,-0.03,0,39.297,219.442,13.886,0.009,0.87,0.02,0,39.429,223.516,13.956,0.003,0.48,0.0,0
11,4670,40,2,93,242.68947782,14.89880649,9999.99,9999.99,99.999,9.999,9.99,9.99,9,360.482,102.521,23.129,0.192,1.1,0.67,0,361.13,92.398,21.579,0.092,1.32,0.9,0,359.929,95.345,20.55,0.075,1.29,0.42,0,360.083,99.353,20.073,0.154,1.32,0.75,0
12,4670,40,2,94,242.69012671,14.89955002,371.443,99.422,20.565,0.074,0.47,0.18,0,368.929,105.133,18.69,0.011,0.91,0.03,0,369.574,95.007,17.994,0.009,0.79,-0.04,0,368.377,97.956,17.748,0.012,0.84,-0.01,0,368.531,101.962,17.643,0.024,1.25,-0.09,0
13,4670,40,2,39,242.69034708,14.8729771,9999.99,9999.99,99.999,9.999,9.99,9.99,9,147.325,201.169,21.783,0.054,0.94,0.03,0,148.013,191.123,20.322,0.032,1.17,0.04,0,146.756,194.026,19.079,0.02,0.88,0.03,0,146.894,198.077,18.376,0.035,1.17,-0.14,0
14,4670,40,2,151,242.69165874,14.92541871,9999.99,9999.99,99.999,9.999,9.99,9.99,9,590.695,25.767,23.096,0.163,0.96,0.22,0,591.297,15.559,21.68,0.083,1.15,0.05,0,590.162,18.556,20.526,0.05,0.87,0.26,0,590.331,22.517,19.865,0.098,1.0,-0.39,0
15,4670,40,2,159,242.69225328,14.92737607,611.68,17.807,19.835,0.042,0.5,-0.15,0,609.117,23.632,17.433,0.01,0.99,0.0,0,609.715,13.418,16.213,0.009,1.12,-0.03,0,608.585,16.42,15.716,0.008,0.76,-0.02,0,608.755,20.376,15.443,0.009,0.99,-0.02,0
16,4670,40,2,172,242.69364926,14.93287904,9999.99,9999.99,99.999,9.999,9.99,9.99,9,659.966,15.404,23.337,0.178,0.85,0.31,0,660.553,5.17,22.062,0.106,1.07,0.02,0,659.438,8.184,21.334,0.108,0.96,0.15,0,659.611,12.13,20.557,0.223,1.23,0.4,0
17,4670,40,2,33,242.69415476,14.86972689,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,133.866,233.464,22.619,0.171,1.08,-0.1,0,132.611,236.368,21.402,0.112,0.95,0.14,0,132.744,240.421,20.893,0.251,1.04,-1.18,0
18,4670,40,2,58,242.69469762,14.88042035,9999.99,9999.99,99.999,9.999,9.99,9.99,9,224.511,209.968,21.147,0.039,1.04,0.11,0,225.18,199.893,20.627,0.031,0.92,0.04,0,223.95,202.816,20.366,0.048,0.95,0.01,0,224.09,206.85,20.356,0.18,1.22,0.26,0
19,4670,40,2,133,242.69515867,14.92023406,561.845,66.666,22.494,0.368,0.4,1.57,0,559.292,72.469,22.06,0.089,1.26,0.71,0,559.897,62.272,21.37,0.089,1.58,0.79,0,558.758,65.265,21.013,0.113,1.25,0.76,0,558.921,69.231,20.764,0.202,0.93,-0.56,0
20,4670,40,2,118,242.69542208,14.90965367,9999.99,9999.99,99.999,9.999,9.99,9.99,9,471.636,112.132,21.927,0.056,0.88,0.04,0,472.258,101.967,21.629,0.076,1.1,-0.29,0,471.095,104.942,21.457,0.115,0.88,0.06,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
21,4670,40,2,100,242.69651407,14.90111349,9999.99,9999.99,99.999,9.999,9.99,9.99,9,403.902,151.261,23.458,0.259,1.11,0.39,0,404.536,141.12,22.174,0.129,1.2,0.41,0,403.356,144.082,20.93,0.089,1.12,0.26,0,403.507,148.079,20.012,0.122,1.11,0.15,0
22,4670,40,2,37,242.69743713,14.86939487,9999.99,9999.99,99.999,9.999,9.99,9.99,9,141.649,271.242,22.141,0.114,1.52,1.02,0,142.331,261.196,20.979,0.098,2.35,1.1,0,141.083,264.104,20.411,0.081,1.47,0.78,0,141.214,268.154,20.12,0.136,1.12,1.04,0
23,4670,40,2,169,242.69793229,14.92956072,649.44,55.974,19.627,0.033,0.46,-0.02,0,646.868,61.818,18.717,0.012,0.91,0.01,0,647.454,51.589,18.443,0.009,0.76,0.01,0,646.342,54.603,18.288,0.014,0.83,0.05,0,646.51,58.55,18.336,0.036,1.21,-0.21,0
24,4670,40,2,139,242.69901946,14.91907349,565.365,102.012,20.774,0.082,0.42,0.12,0,562.81,107.817,19.831,0.015,0.81,0.09,0,563.411,97.617,19.485,0.017,0.95,-0.03,0,562.278,100.615,19.284,0.024,0.92,0.06,0,562.439,104.579,19.215,0.062,1.06,0.15,0
25,4670,40,2,174,242.6993759,14.93175854,672.791,59.842,21.915,0.24,0.44,-0.01,0,670.214,65.699,21.197,0.037,0.96,0.0,0,670.794,55.46,20.719,0.034,0.98,-0.08,0,669.691,58.48,20.567,0.054,0.91,0.03,0,669.859,62.422,20.703,0.228,1.1,-0.68,0
26,4670,40,2,22,242.69957118,14.86379793,9999.99,9999.99,99.999,9.999,9.99,9.99,9,102.136,308.363,23.276,0.228,1.15,0.7,0,102.824,298.33,21.848,0.1,1.23,0.65,0,101.568,301.232,20.945,0.077,0.96,0.37,0,101.694,305.29,20.613,0.213,1.15,0.47,0
27,4670,40,2,104,242.70091273,14.90058756,9999.99,9999.99,99.999,9.999,9.99,9.99,9,414.577,188.711,22.358,0.103,1.16,-0.41,0,415.204,178.565,21.719,0.078,1.05,-0.1,0,414.034,181.533,21.446,0.108,0.87,0.12,0,414.182,185.527,20.644,0.232,1.2,0.58,0
28,4670,40,2,204,242.7010561,14.94237717,9999.99,9999.99,99.999,9.999,9.99,9.99,9,764.863,41.617,22.789,0.109,0.85,0.09,0,765.424,31.344,21.223,0.047,0.93,-0.03,0,764.348,34.386,20.298,0.049,1.01,0.12,0,764.522,38.308,19.738,0.08,0.9,-0.01,0
29,4670,40,2,266,242.70217632,14.95521001,9999.99,9999.99,99.999,9.999,9.99,9.99,9,876.134,5.151,20.231,0.022,1.0,0.05,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9,9999.99,9999.99,99.999,9.999,9.99,9.99,9,875.809,1.801,19.432,0.051,0.72,0.07,0
30,4670,40,2,83,242.70329415,14.8889373,327.748,243.613,19.144,0.026,0.54,-0.01,0,325.24,249.307,17.229,0.006,0.61,-0.01,0,325.883,239.192,16.456,0.006,0.74,0.0,0,324.691,242.144,16.153,0.008,0.74,0.0,0,324.831,246.155,16.012,0.01,0.98,-0.02,0
31,4670,40,2,240,242.7039621,14.94960288,9999.99,9999.99,99.999,9.999,9.99,9.99,9,835.314,39.487,21.563,0.054,1.09,-0.03,0,835.859,29.186,20.594,0.036,1.11,-0.05,0,834.806,32.246,20.144,0.034,0.79,-0.07,0,834.982,36.153,19.787,0.095,1.02,-0.46,0
32,4670,40,2,291,242.70545355,14.96071806,936.11,6.131,21.57,0.197,0.49,-0.57,0,933.48,12.114,20.739,0.028,0.97,0.1,0,934.005,1.777,20.415,0.028,0.93,0.0,0,932.98,4.859,20.277,0.043,0.9,0.06,0,933.162,8.745,20.296,0.138,0.95,0.21,0
33,4670,40,2,161,242.70642552,14.9228501,9999.99,9999.99,99.999,9.999,9.99,9.99,9,619.807,154.326,22.279,0.086,1.02,0.27,0,620.391,144.103,21.621,0.075,1.09,0.14,0,619.283,147.119,21.353,0.086,0.76,-0.06,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
34,4670,40,2,153,242.70691503,14.91978013,598.351,163.355,21.589,0.171,0.43,-0.61,0,595.787,169.178,20.002,0.019,0.93,0.07,0,596.376,158.963,19.298,0.019,1.16,-0.07,0,595.262,161.975,19.023,0.024,1.06,0.0,0,595.418,165.93,18.809,0.046,1.12,0.0,0
35,4670,40,2,42,242.70909874,14.8664276,159.262,370.51,21.973,0.242,0.44,0.53,0,156.786,376.125,20.213,0.023,1.05,0.02,0,157.456,366.069,19.468,0.017,0.96,0.1,0,156.227,368.991,19.143,0.028,1.18,0.07,0,156.35,373.034,19.069,0.054,1.06,-0.06,0
36,4670,40,2,16,242.70930168,14.85675779,9999.99,9999.99,99.999,9.999,9.99,9.99,9,76.583,412.071,22.686,0.152,1.31,0.53,0,77.269,402.044,21.671,0.1,1.42,0.34,0,76.018,404.949,21.257,0.124,1.19,0.85,0,76.135,409.009,20.73,0.204,0.99,0.64,0
37,4670,40,2,253,242.70941987,14.95009189,9999.99,9999.99,99.999,9.999,9.99,9.99,9,858.115,81.893,21.095,0.039,1.07,-0.01,0,858.652,71.582,20.03,0.026,1.11,-0.04,0,857.612,74.651,19.639,0.03,0.96,0.01,0,857.785,78.551,19.373,0.065,1.0,-0.02,0
38,4670,40,2,343,242.7103523,14.96850349,9999.99,9999.99,99.999,9.999,9.99,9.99,9,1015.45,24.108,22.819,0.13,0.98,-0.12,0,1015.956,13.74,22.308,0.109,0.89,0.27,0,1014.959,16.843,22.334,0.222,0.79,0.57,0,9999.99,9999.99,99.999,9.999,9.99,9.99,9
39,4670,40,2,324,242.71106324,14.96529192,993.644,35.24,20.724,0.071,0.38,0.45,0,991.001,41.252,19.862,0.018,0.98,0.07,0,991.51,30.893,19.545,0.021,1.13,-0.03,0,990.509,33.991,19.403,0.03,1.11,0.03,0,990.69,37.864,19.253,0.054,0.88,-0.26,0
40,4670,40,2,166,242.71124347,14.92289427,9999.99,9999.99,99.999,9.999,9.99,9.99,9,636.692,193.141,21.968,0.064,0.98,-0.1,0,637.269,182.91,21.476,0.052,0.86,-0.21,0,636.172,185.934,21.173,0.081,0.83,0.18,0,636.328,189.879,21.127,0.321,1.04,-0.64,0
41,4670,40,2,52,242.71145402,14.87274942,9999.99,9999.99,99.999,9.999,9.99,9.99,9,217.751,372.754,21.949,0.07,1.09,-0.12,0,218.408,362.675,21.137,0.054,1.01,0.33,0,217.198,365.612,20.665,0.059,0.94,-0.08,0,217.323,369.642,20.235,0.132,1.0,-0.12,0
42,4670,40,2,167,242.71332206,14.92209759,9999.99,9999.99,99.999,9.999,9.99,9.99,9,637.148,212.781,21.943,0.068,1.04,-0.36,0,637.724,202.549,21.602,0.062,0.92,0.14,0,636.63,205.575,21.515,0.126,0.96,0.23,0,636.784,209.519,21.114,0.29,0.96,-0.35,0
43,4670,40,2,134,242.71343691,14.91276142,9999.99,9999.99,99.999,9.999,9.99,9.99,9,559.397,246.836,22.663,0.109,0.95,0.23,0,559.986,236.632,21.492,0.054,0.88,-0.04,0,558.872,239.642,20.866,0.063,0.85,-0.19,0,559.02,243.602,20.586,0.16,0.87,0.08,0
44,4670,40,2,106,242.71430841,14.89561511,421.406,308.981,19.718,0.032,0.41,-0.12,0,418.877,314.722,18.715,0.01,0.83,-0.02,0,419.493,304.569,18.378,0.014,1.17,0.02,0,418.341,307.55,18.228,0.018,1.09,0.01,0,418.478,311.539,18.202,0.031,1.16,-0.05,0
45,4670,40,2,80,242.71435144,14.88367436,321.607,351.742,17.103,0.007,0.59,0.05,0,319.098,357.436,15.555,0.006,0.7,-0.03,0,319.733,347.319,15.038,0.005,0.64,0.01,0,318.554,350.28,14.854,0.006,0.59,0.02,0,318.684,354.288,14.816,0.008,1.07,0.03,0
